1.000000000000000000e+00 & 4.904606993212836663e+00 & 4.904556377971336367e+00 \\
2.000000000000000000e+00 & 7.343477283253767141e+00 & 7.343306021793567062e+00 \\
3.000000000000000000e+00 & 9.242293166195555187e+00 & 9.241843732411313184e+00 \\
4.000000000000000000e+00 & 1.090623882246644172e+01 & 1.090488134936649978e+01 \\
5.000000000000000000e+00 & 1.247512303001076894e+01 & 1.247091650309972266e+01 \\
6.000000000000000000e+00 & 1.401593946138781988e+01 & 1.399977310560369048e+01 \\
7.000000000000000000e+00 & 1.557324641911305285e+01 & 1.551477851070706748e+01 \\
8.000000000000000000e+00 & 1.723565187114419928e+01 & 1.702426127148189039e+01 \\
9.000000000000000000e+00 & 1.914784837911095394e+01 & 1.853130779274701823e+01 \\
1.000000000000000000e+01 & 2.188206124734219316e+01 & 2.003715936450966950e+01 \\
