0.000000000000000000e+00 & 7.968126311118457483e-01 & 1.400000000000000000e+01 \\
1.000000000000000056e-01 & 7.968125600352318205e-01 & 1.200000000000000000e+01 \\
2.000000000000000111e-01 & 7.968122737816650814e-01 & 1.100000000000000000e+01 \\
3.000000000000000444e-01 & 7.968123153348108945e-01 & 9.000000000000000000e+00 \\
4.000000000000000222e-01 & 7.968121809454787874e-01 & 8.000000000000000000e+00 \\
5.000000000000000000e-01 & 7.968121566399141154e-01 & 5.000000000000000000e+00 \\
6.000000000000000888e-01 & 7.968121249678459250e-01 & 6.000000000000000000e+00 \\
7.000000000000000666e-01 & 7.968121302175436016e-01 & 5.000000000000000000e+00 \\
8.000000000000000444e-01 & 7.968121645340635606e-01 & 6.000000000000000000e+00 \\
9.000000000000000222e-01 & 7.968121504914545961e-01 & 8.000000000000000000e+00 \\
1.000000000000000000e+00 & 7.968120570818892912e-01 & 9.000000000000000000e+00 \\
